cnt;adr;fei;rssi;rawcm;rssicor;feicor;res;corres
3377;0x77;181753;71;8315;230;-1872;6673;5379
3378;0x55;180947;74;11204;207;-1863;9548;9254
3379;0x66;181753;77;1147;209;-1872;-516;110
3380;0x77;176111;70;9066;223;-1813;7476;6407
3381;0x55;180947;74;9994;207;-1863;8338;7639
3382;0x66;176111;90;2163;473;-1813;823;615
3383;0x77;176111;70;8322;223;-1813;6732;5449
3384;0x55;180141;72;10454;219;-1855;8818;8324
3385;0x66;176111;81;2071;310;-1813;568;406
3386;0x77;180947;71;8480;230;-1863;6847;5588
3387;0x55;180141;76;10206;198;-1855;8549;7944
3388;0x66;180947;81;2438;310;-1863;885;669
3389;0x77;180947;70;8394;223;-1863;6754;5475
3390;0x55;180141;74;11175;207;-1855;9527;9230
3391;0x66;176917;93;2089;500;-1822;767;567
3392;0x77;176917;70;8750;223;-1822;7151;5972
3393;0x55;180947;77;11993;209;-1863;10339;10339
3394;0x66;176917;93;1917;500;-1822;595;427
3395;0x77;176917;70;8899;223;-1822;7300;6168
3396;0x55;180947;75;11455;228;-1863;9820;9536
3397;0x66;176917;81;2057;310;-1822;545;389
3398;0x77;176917;70;8363;223;-1822;6764;5487
3399;0x55;180947;76;11461;198;-1863;9796;9513
3400;0x66;176917;81;1893;310;-1822;381;274
3401;0x77;176917;71;9280;230;-1822;7688;6703
3402;0x66;176917;80;2325;280;-1822;783;581
3403;0x77;176917;71;8757;230;-1822;7165;5990
3404;0x55;180947;75;11148;228;-1863;9513;9214
3405;0x77;181753;69;7961;221;-1872;6310;4974
3406;0x55;180947;75;11195;228;-1863;9560;9267
3407;0x66;181753;80;2021;280;-1872;429;306
3408;0x77;181753;70;9417;223;-1872;7768;6816
3409;0x55;180947;73;10395;205;-1863;8737;8211
3410;0x66;181753;90;1451;473;-1872;52;104
3411;0x77;181753;70;8804;223;-1872;7155;5977
3412;0x55;180141;74;12354;207;-1855;10706;10706
3413;0x66;181753;81;2032;310;-1872;470;334
3414;0x77;181753;68;7732;226;-1872;6086;4744
3415;0x55;180141;72;9451;219;-1855;7815;6883
3416;0x66;181753;87;1935;431;-1872;494;351
3417;0x77;175305;69;8831;221;-1805;7247;6098
3418;0x55;180141;72;9803;219;-1855;8167;7391
3419;0x66;175305;93;1742;500;-1805;437;311
3420;0x77;175305;70;9388;223;-1805;7806;6870
3421;0x55;181753;72;10853;219;-1872;9200;8836
3422;0x66;175305;91;1710;482;-1805;387;278
3423;0x77;175305;70;9133;223;-1805;7551;6511
3424;0x55;181753;73;11222;205;-1872;9555;9262
3425;0x66;175305;81;1856;310;-1805;361;261
3426;0x77;175305;70;8978;223;-1805;7396;6298
3427;0x55;181753;74;10943;207;-1872;9278;8934
3428;0x66;176917;92;2016;475;-1822;669;486
3429;0x77;176917;69;8414;221;-1822;6813;5546
3430;0x55;181753;72;11085;219;-1872;9432;9121
3431;0x66;176917;81;1444;310;-1822;-68;68
3432;0x77;180947;68;8020;226;-1863;6383;5052
3433;0x55;181753;73;10544;205;-1872;8877;8406
3434;0x66;180947;81;1701;310;-1863;148;143
3435;0x77;180947;69;9354;221;-1863;7712;6736
3436;0x55;181753;73;11013;205;-1872;9346;9018
3437;0x66;180947;90;1687;473;-1863;297;222
3438;0x77;180947;69;9244;221;-1863;7602;6582
3439;0x55;180947;72;10968;219;-1863;9324;8991
3440;0x66;180947;97;1171;660;-1863;-32;77
3441;0x77;180947;70;9460;223;-1863;7820;6890
3442;0x55;180947;74;10997;207;-1863;9341;9012
3443;0x66;181753;93;1440;500;-1872;68;110
3444;0x77;181753;69;8847;221;-1872;7196;6030
3445;0x55;180947;76;12070;198;-1863;10405;10405
3446;0x66;176111;98;1372;720;-1813;279;211
3447;0x77;176111;69;9271;221;-1813;7679;6690
3448;0x55;180947;72;11333;219;-1863;9689;9406
3449;0x66;176111;91;1223;482;-1813;-108;60
3450;0x77;176111;69;9235;221;-1813;7643;6639
3451;0x55;180141;73;11153;205;-1855;9503;9203
3452;0x66;181753;99;1239;743;-1872;110;127
3453;0x77;181753;68;9221;226;-1872;7575;6544
3454;0x55;180141;75;11610;228;-1855;9983;9681
3455;0x66;181753;99;1144;743;-1872;15;91
3456;0x77;175305;69;9266;221;-1805;7682;6694
3457;0x55;180141;74;11225;207;-1855;9577;9286
3458;0x66;175305;98;851;720;-1805;-234;48
3459;0x77;175305;69;9050;221;-1805;7466;6393
3460;0x55;180141;76;12291;198;-1855;10634;10634
3461;0x66;181753;100;1239;761;-1872;128;134
3462;0x77;181753;68;9415;226;-1872;7769;6817
3463;0x55;180141;76;11344;198;-1855;9687;9403
3464;0x66;181753;103;903;763;-1872;-206;49
3465;0x77;181753;67;8888;223;-1872;7239;6087
3466;0x55;180141;75;11908;228;-1855;10281;10281
3467;0x66;181753;108;1038;759;-1872;-75;66
3468;0x77;181753;64;8685;221;-1872;7034;5821
3469;0x55;180141;77;11795;209;-1855;10149;10149
3470;0x66;181753;112;964;745;-1872;-163;52
3471;0x77;180947;65;9827;216;-1863;8180;7410
3472;0x55;180141;72;11371;219;-1855;9735;9452
3473;0x66;180947;116;1174;841;-1863;152;145
3474;0x77;180947;68;9176;226;-1863;7539;6494
3475;0x55;180141;73;11601;205;-1855;9951;9654
3476;0x66;176111;115;872;827;-1813;-114;59
3477;0x77;176111;67;9273;223;-1813;7683;6696
3478;0x55;180141;75;12009;228;-1855;10382;10382
3479;0x66;176111;117;797;843;-1813;-173;51
3480;0x77;176111;67;8789;223;-1813;7199;6034
3481;0x55;180141;71;11908;230;-1855;10283;10283
3482;0x66;181753;112;1304;745;-1872;177;157
3483;0x77;181753;66;9314;223;-1872;7665;6670
3484;0x55;180141;72;11558;219;-1855;9922;9629
3485;0x66;176111;104;698;768;-1813;-347;57
3486;0x77;176111;65;8629;216;-1813;7032;5818
3487;0x55;180141;76;11840;198;-1855;10183;10183
3488;0x66;176111;103;757;763;-1813;-293;50
3489;0x77;176111;61;8820;230;-1813;7237;6084
3490;0x55;180141;73;11743;205;-1855;10093;10093
