53;25496;8884
52;21325;9512
51;12804;7168
98;7466;7772
49;7823;7240
48;8232;7378
176;9624;7487
50;7472;6586
76;15954;8919
96;8710;7297
58;9294;5679
212;9427;8274
179;10429;7387
49;9537;7110
62;10472;9679
49;11179;5751
76;8675;6547
51;8263;6373
48;10800;3812
244;9072;3859
54;10834;4397
56;10356;8479
169;9577;9394
106;13152;6755
49;3357;2266
211;8974;7578
49;9580;5110
58;10521;7356
172;5069;7162
128;8770;4622
137;10006;7120
526;10981;5924
63;11530;8468
72;14430;5339
416;10833;4277
120;7440;4347
180;10201;6714
222;12172;6164
106;12169;4056
1214;5566;4346
208;8879;5492
256;11244;4866
83;9486;4820
285;11573;3812
951;11481;4327
456;8499;3713
145;10205;4609
1453;6993;4752
1382;3912;4691
48;12405;5989
1853;5957;5278
581;3776;4488
1839;7117;4289
208;3325;8267
610;11355;4809
1451;4595;6013
604;11969;4546
1338;9233;3692
1746;9566;6142
449;7468;4269
1316;12200;4414
390;15280;3879
1251;4580;6688
1084;10188;5369
14016;10057;4346
1110;10449;5959
920;10628;3662
2863;9145;3856
2389;10443;5013
16067;6446;4039
1643;22557;3898
1872;10260;4486
2336;6693;4792
1564;7443;3420
216;7250;4626
4947;935;3871
9229;6871;2765
1998;10212;5779
3560;7085;4079
1648;9563;4194
4606;11244;3302
3288;8167;3586
994;4450;4025
558;10575;5639
24315;9630;4036
1513;8044;4797
1713;4465;4005
2324;4572;4768
1961;8726;4386
1971;6389;4447
171979;7376;4047
2171;7571;3406
2264;8155;4006
3076;11051;3945
1853;8692;3455
3613;8377;3902
2194;4750;3564
2083;9024;3027
225;4804;3110
2713;8160;3296
1059;5240;3675
1557;5275;3371
1927;7914;3514
3521;8608;2714
1446;9151;2955
2748;8414;3030
1972;7686;4087
1441;9102;3078
1984;8210;3206
2928;8306;3094
1451;6378;3598
1593;8430;3780
3688;6057;2755
2442;7312;3094
1310;7984;2811
2235;7439;3399
3046;6869;2614
1922;8687;3334
3778;5541;2995
4878;8602;3235
2262;8595;3484
2511;6262;3808
2979;5736;3653
2556;7784;3300
9446;5737;3113
2760;4891;3440
3131;7156;2978
1670;8160;2811
2562;5088;3078
2646;7343;3316
419;6576;974
2408;7142;2247
2973;7901;2972
3423;7244;3038
1119;7150;2645
3756;6106;3261
3212;8078;3370
1927;7398;3278
2523;7350;2437
3020;7243;2814
2882;6886;2941
3706;9049;3263
19377;9367;2976
3067;7331;3095
1909;5110;2400
2832;8138;2960
2153;8750;3086
3066;6712;3005
2081;6877;3093
3022;8341;2218
1456;6363;2749
3356;6724;1463
3553;6919;2963
3660;8568;2750
82;7645;1315
3654;5309;2438
3550;7260;2117
3196;8730;2132
3828;8007;3134
3080;6258;2450
2971;7712;2058
3881;8568;2948
2814;8352;2309
3041;7381;2892
3640;7764;2099
3568;8792;1925
3232;8472;2526
3053;8383;2586
2932;7626;1730
5104;5493;1763
3291;6746;2361
2504;7839;1856
1204;7095;1990
3627;5676;2693
3922;6096;1014
3593;7243;2005
3502;8082;1615
3846;7263;1678
2067;4149;1679
5560;5186;1566
2452;7265;2160
2312;6471;1772
3056;6191;803
1207;7638;2985
4283;7159;2499
3520;5735;2347
4498;7259;2928
3189;8805;1927
2918;5877;2113
3879;6813;1656
3337;8231;1458
4685;6152;1967
3999;6663;2224
3629;5648;1603
4243;5755;3324
3690;5534;977
3590;6218;1807
3847;7757;207
4907;7994;1047
4462;8211;1314
2650;8679;1492
5202;7068;1139
4306;3378;1400
4329;7195;676
3616;4157;1255
4603;3178;1043
4457;4871;174
6369;4669;68
5418;9234;365
7118;4960;2240
5579;6601;2294
3186;9536;2096
4269;5831;794
3206;5794;1317
3932;5220;1620
2717;4880;695
3339;7349;1655
5010;6425;901
3696;6907;851
3337;7045;1152
3602;5292;1006
5761;7495;1055
4180;6903;801
2724;6246;1368
6041;4009;647
5054;7535;868
2103;9692;1556
4251;5869;639
2522;5737;813
4006;9113;1091
3567;10116;774
4780;7019;881
2614;4218;553
4173;9264;671
3407;6758;836
5533;5008;688
3731;8772;854
2974;8763;479
4976;6440;67
4348;9422;1065
2962;7546;482
5485;7678;491
158;9162;1231
9284;6822;710
927;9659;625
4467;4827;708
6341;5049;625
8206;6537;256
4934;9531;425
5327;7009;459
7963;7997;270
3908;7484;302
2175;6554;738
1705;7664;1078
4082;8646;100
6518;4120;606
7265;8043;83
6611;9621;154
5884;7104;384
10202;7186;173
4756;6469;80
6795;9085;136
6645;4393;491
8526;2135;80
8165;7455;88
5787;5801;157
4148;6800;160
4495;5014;98
4085;2805;184
5734;4569;48
3616;6311;49
11666;6268;67
10361;10808;99
5834;5049;60
5056;6244;76
5280;2997;81
4018;3525;68
1067;7728;60
4537;3168;119
6004;9219;75
9486;4408;79
3063;8968;114
8610;2389;76
5444;8468;50
6381;2754;170
6148;4104;48
5115;6635;49
4368;6472;63
6356;7320;51
7236;4727;70
6603;2455;69
7045;3638;112
6954;7417;65
6030;7888;63
5859;6649;50
6889;6628;48
6703;9299;66
6207;10179;124
6987;8396;57
7991;9620;151
7176;7988;63
5983;2353;55
5601;10858;185
6522;7113;117
7201;11928;60
6417;10760;53
6042;8563;106
5990;10678;57
5796;11388;63
5951;11686;92
6273;12320;48
5764;12908;101
5599;10464;55
5922;11599;97
5468;11224;81
5283;12122;52
5853;11710;155
5404;11692;88
5490;10985;49
6537;11032;48
6128;10846;246
5841;11434;59
6490;12410;66
5955;12360;118
5998;11898;54
6087;12114;48
5107;11930;54
5018;12405;68
5616;12613;50
